epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74653,1.15332,2.47654,1.5441,0.00292,1,0.6473,0.38923,0.96399,3.17502,1.66898,0.00038,0.00038,0.00038
2,6.24764,0.94613,1.61358,1.39165,0.00175,0.53571,0.06361,0.02379,2.91162,4.55075,3.07507,0.000779998,0.000779998,0.000779998
3,7.69748,1.0547,1.45266,1.43957,0.0001,0.03571,1e-05,0,5.80041,11.2335,6.43961,0.00117999,0.00117999,0.00117999
4,9.09422,1.08339,1.39782,1.47073,0.29158,0.21429,0.14196,0.02974,2.84805,4.10099,3.48033,0.00157997,0.00157997,0.00157997
5,10.4922,1.06152,1.22515,1.43821,0.83806,0.07143,0.09315,0.03649,2.92266,4.19026,3.24352,0.00197992,0.00197992,0.00197992
6,11.9054,1.02382,1.13416,1.40359,0.17631,0.32143,0.15948,0.06493,2.11638,2.85365,2.81169,0.00199988,0.00199988,0.00199988
7,13.2774,1.11759,1.1792,1.47868,0.31011,0.5,0.26521,0.1326,1.90544,2.39495,2.51217,0.00199982,0.00199982,0.00199982
8,14.6559,1.0322,1.04919,1.40927,0.38562,0.39286,0.29335,0.10073,2.01939,5.24165,3.15921,0.00199976,0.00199976,0.00199976
9,16.0155,1.0353,0.99463,1.42708,0.14815,0.42857,0.17861,0.05048,1.91264,3.46341,2.61692,0.00199969,0.00199969,0.00199969
10,17.4947,1.01843,0.91982,1.37841,0.48926,0.5,0.38673,0.25395,1.46619,2.39813,2.20903,0.0019996,0.0019996,0.0019996
11,18.8564,1.06168,0.96117,1.43122,0.19342,0.32143,0.12291,0.04828,2.14188,4.74499,3.03917,0.00199951,0.00199951,0.00199951
12,20.2258,1.00216,0.84197,1.37113,0.58727,0.75,0.65047,0.36794,1.47814,1.558,2.13306,0.00199941,0.00199941,0.00199941
13,21.617,0.99292,0.83206,1.38032,0.44692,0.67857,0.51117,0.27964,1.57339,1.76444,2.41106,0.0019993,0.0019993,0.0019993
14,22.966,0.9505,0.81485,1.35325,0.53232,0.67857,0.47611,0.27887,1.41081,1.85462,2.13831,0.00199917,0.00199917,0.00199917
15,24.3105,0.96104,0.79731,1.36387,0.66152,0.60714,0.5846,0.36626,1.29563,1.59205,2.01121,0.00199904,0.00199904,0.00199904
16,25.6893,0.90281,0.71705,1.28489,0.54421,0.72512,0.57741,0.32778,1.49021,1.50643,1.99156,0.0019989,0.0019989,0.0019989
17,27.0724,0.97175,0.76619,1.35584,0.96826,0.39286,0.63416,0.31963,1.7087,1.47851,2.26526,0.00199875,0.00199875,0.00199875
18,28.4348,0.91646,0.76829,1.32755,0.40792,0.75,0.55658,0.32012,1.61522,1.81598,2.08028,0.00199859,0.00199859,0.00199859
19,29.7668,0.92307,0.76343,1.33899,0.45102,0.75,0.45439,0.29341,1.51766,1.71232,1.94159,0.00199842,0.00199842,0.00199842
20,31.1235,0.9473,0.75387,1.31999,0.47181,0.70204,0.47228,0.28887,1.38022,1.8286,2.0321,0.00199824,0.00199824,0.00199824
21,32.4857,0.92368,0.74409,1.31937,0.48004,0.52776,0.41587,0.27509,1.42696,1.91942,1.95278,0.00199805,0.00199805,0.00199805
22,33.9225,0.92641,0.70023,1.32013,0.55856,0.67857,0.55937,0.28514,1.89097,1.68067,2.55413,0.00199785,0.00199785,0.00199785
23,35.2716,0.97813,0.71235,1.34391,0.54258,0.67857,0.5599,0.33361,1.52503,1.28316,2.38933,0.00199764,0.00199764,0.00199764
24,36.6326,0.90814,0.67488,1.29923,0.47922,0.82143,0.55698,0.38346,1.41052,1.33926,2.08364,0.00199742,0.00199742,0.00199742
25,37.9798,0.92621,0.69641,1.3275,0.56339,0.7835,0.64158,0.39447,1.41062,1.23195,2.03249,0.00199719,0.00199719,0.00199719
26,39.422,0.86943,0.64077,1.2609,0.59792,0.78571,0.64864,0.40644,1.38243,1.2753,2.05533,0.00199695,0.00199695,0.00199695
27,40.8686,0.9109,0.67801,1.31484,0.58451,0.71429,0.66393,0.3973,1.43776,1.28253,2.20726,0.0019967,0.0019967,0.0019967
28,42.2326,0.88,0.64446,1.2803,0.57163,0.75,0.68414,0.47446,1.15218,1.44641,1.77244,0.00199644,0.00199644,0.00199644
29,43.6567,0.86618,0.64174,1.27309,0.6329,0.8007,0.69858,0.43592,1.39619,1.20212,1.98308,0.00199617,0.00199617,0.00199617
30,45.0159,0.86478,0.6268,1.26227,0.64614,0.92857,0.79934,0.52749,1.11502,1.07339,1.64003,0.00199589,0.00199589,0.00199589
31,46.4306,0.83641,0.60338,1.26569,0.55129,0.8339,0.64468,0.41856,1.25645,1.34409,1.76944,0.00199561,0.00199561,0.00199561
32,47.7802,0.83175,0.59328,1.25235,0.62573,0.65708,0.67654,0.44044,1.05274,1.25907,1.65723,0.00199531,0.00199531,0.00199531
33,49.1233,0.86822,0.59966,1.25736,0.53217,0.75,0.63851,0.39679,1.20893,1.2546,1.84153,0.001995,0.001995,0.001995
34,50.4817,0.84821,0.58686,1.27025,0.60233,0.64931,0.59936,0.32755,1.7466,1.82727,2.55995,0.00199468,0.00199468,0.00199468
35,51.9722,0.90298,0.63035,1.2865,0.57725,0.60714,0.55874,0.33148,1.60416,1.81235,2.38753,0.00199436,0.00199436,0.00199436
36,53.3178,0.83894,0.6041,1.2351,0.58689,0.78571,0.65367,0.39119,1.28873,1.37968,1.88535,0.00199402,0.00199402,0.00199402
37,54.6728,0.83167,0.588,1.26496,0.66817,0.67857,0.63389,0.36449,1.63431,1.47548,2.27238,0.00199368,0.00199368,0.00199368
38,56.0488,0.83187,0.58557,1.2317,0.51005,0.55797,0.55678,0.36726,1.25683,2.07795,1.85455,0.00199332,0.00199332,0.00199332
39,57.4231,0.81984,0.57406,1.25508,0.64728,0.65567,0.6009,0.4444,1.13683,1.72761,1.68489,0.00199295,0.00199295,0.00199295
40,58.7693,0.83712,0.59601,1.25234,0.59904,0.74709,0.66313,0.44147,1.40264,1.613,1.97696,0.00199258,0.00199258,0.00199258
41,60.1107,0.81992,0.5735,1.22223,0.64652,0.60714,0.65578,0.40693,1.22429,1.22262,1.91519,0.00199219,0.00199219,0.00199219
42,61.4656,0.7994,0.56626,1.23338,0.56673,0.82143,0.59246,0.37374,1.36288,1.26084,1.95053,0.0019918,0.0019918,0.0019918
43,62.818,0.78537,0.54709,1.2228,0.72902,0.71429,0.69827,0.47784,1.21937,1.04078,1.72884,0.00199139,0.00199139,0.00199139
44,64.1964,0.785,0.53075,1.21659,0.54548,0.92857,0.70475,0.43915,1.25478,1.08071,1.87877,0.00199098,0.00199098,0.00199098
45,65.5587,0.80095,0.53707,1.22113,0.64781,0.85409,0.59691,0.40689,1.15683,1.21802,1.77602,0.00199056,0.00199056,0.00199056
46,67.0237,0.78668,0.53883,1.21452,0.67578,0.71429,0.63166,0.41643,1.35607,1.08126,2.05421,0.00199012,0.00199012,0.00199012
47,68.3758,0.79738,0.56188,1.22316,0.52855,0.64286,0.54663,0.34439,1.52833,1.74952,2.28356,0.00198968,0.00198968,0.00198968
48,69.743,0.79062,0.54553,1.19701,0.60995,0.78197,0.689,0.49243,1.16458,1.06313,1.79119,0.00198923,0.00198923,0.00198923
49,71.1177,0.77531,0.52079,1.20841,0.69155,0.72083,0.71496,0.506,1.14176,1.12332,1.8036,0.00198877,0.00198877,0.00198877
50,72.489,0.78271,0.53735,1.20267,0.68251,0.75,0.69764,0.46953,1.17831,1.23751,1.87997,0.00198829,0.00198829,0.00198829
51,73.8465,0.75132,0.53132,1.1809,0.64715,0.71429,0.70495,0.49703,1.12024,1.32829,1.72783,0.00198781,0.00198781,0.00198781
52,75.2355,0.7601,0.552,1.19793,0.81225,0.82143,0.79092,0.48586,1.13901,1.14953,1.80568,0.00198732,0.00198732,0.00198732
53,76.6211,0.75054,0.51919,1.21456,0.67052,0.60714,0.60772,0.39051,1.26451,1.27542,1.86227,0.00198682,0.00198682,0.00198682
54,78.0035,0.75699,0.52364,1.20011,0.57783,0.75,0.67724,0.48526,1.18333,1.12624,1.793,0.00198631,0.00198631,0.00198631
55,79.3851,0.74292,0.50846,1.18598,0.76789,0.70909,0.73744,0.52011,1.22879,1.15744,1.78523,0.00198579,0.00198579,0.00198579
56,80.7657,0.75142,0.52449,1.20673,0.71681,0.64286,0.63635,0.42828,1.19548,1.10496,1.83848,0.00198526,0.00198526,0.00198526
57,82.1647,0.73968,0.48732,1.16933,0.75136,0.75,0.76964,0.48627,1.2241,1.85892,1.8199,0.00198472,0.00198472,0.00198472
58,83.5337,0.75144,0.50206,1.19513,0.63707,0.82143,0.69186,0.42641,1.28729,1.25879,1.91797,0.00198417,0.00198417,0.00198417
59,85.0015,0.73411,0.53488,1.1819,0.68702,0.82143,0.68352,0.47441,1.22294,1.00043,1.92739,0.00198361,0.00198361,0.00198361
60,86.3468,0.66368,0.46401,1.14199,0.63715,0.89286,0.70328,0.46572,1.32101,1.05663,2.09638,0.00198304,0.00198304,0.00198304
61,87.737,0.724,0.48899,1.1723,0.69242,0.82143,0.70288,0.50386,1.20491,0.9494,1.93241,0.00198246,0.00198246,0.00198246
62,89.1365,0.74848,0.49344,1.17146,0.50746,0.75,0.63358,0.45046,1.18484,1.14768,1.8294,0.00198188,0.00198188,0.00198188
63,90.5096,0.71994,0.48406,1.17221,0.70702,0.78571,0.64743,0.47883,1.11076,1.13317,1.80358,0.00198128,0.00198128,0.00198128
64,91.8764,0.71254,0.50322,1.17082,0.60186,0.78571,0.62403,0.452,1.10157,1.04985,1.79656,0.00198067,0.00198067,0.00198067
65,93.2665,0.6936,0.47617,1.16277,0.59144,0.7757,0.68553,0.49306,1.17079,1.12153,1.85331,0.00198006,0.00198006,0.00198006
66,94.6465,0.69362,0.47628,1.15257,0.59295,0.64286,0.61732,0.45568,1.20247,1.4977,1.9389,0.00197943,0.00197943,0.00197943
67,96.0207,0.72369,0.48239,1.14833,0.67872,0.64286,0.5903,0.44024,1.15943,1.21775,1.90218,0.0019788,0.0019788,0.0019788
68,97.3951,0.70792,0.46488,1.14819,0.54573,0.71429,0.53675,0.37171,1.27321,1.48943,1.89491,0.00197815,0.00197815,0.00197815
69,98.8361,0.71711,0.47562,1.16347,0.6031,0.7057,0.64266,0.46979,1.09053,1.33793,1.61325,0.0019775,0.0019775,0.0019775
70,100.24,0.70954,0.46118,1.16296,0.74196,0.61646,0.67399,0.4288,1.30771,1.16565,1.86476,0.00197683,0.00197683,0.00197683
